,Año,País,Tasa Desempleo,Varianza Anual Desempleo,SMI €,Salario Medio
0,2005,España [+],"8,8%","-1,50","598,5 €",20.616€
1,2005,Reino Unido [+],"5,1%","0,40","1.134,7 €",44.361€
2,2005,Francia [+],"9,1%","0,20","1.217,9 €",30.521€
3,2005,Portugal [+],"8,8%","0,50","437,2 €",14.042€
4,2005,Estados Unidos [+],"4,9%","-0,50","655,4 €",30.252€
5,2005,Japón [+],"4,4%","-0,10","826,3 €",36.382€
6,2005,Australia [+],"5,1%","0,00","1.184,7 €",32.213€
7,2005,Bélgica [+],"8,5%","0,30","1.210,0 €",36.673€
8,2005,Bulgaria [+],"9,7%","-1,80","76,7 €",1.974€
9,2005,Canadá [+],"6,6%","-0,50","769,7 €",26.124€
10,2005,Chile [+],"7,9%","-0,94","162,9 €",6.616€
11,2005,República Checa [+],"7,7%","-0,30","235,9 €",7.355€
12,2005,Estonia [+],"6,8%","-2,70","171,9 €",6.304€
13,2005,Grecia [+],"9,7%","-0,67","667,7 €",22.012€
14,2005,Hungría [+],"7,4%","0,90","231,7 €",7.321€
15,2005,Irlanda [+],"4,6%",0,"1.292,9 €",38.065€
16,2005,Lituania [+],"6,9%","-3,40","159,3 €",4.382€
17,2005,Luxemburgo [+],"4,2%","0,30","1.466,8 €",42.067€
18,2005,Letonia [+],"8,5%","-3,30","114,6 €",3.828€
19,2005,Malta [+],"7,3%","0,50","555,1 €",14.638€
20,2005,México [+],"2,8%","-0,75","90,4 €",5.153€
21,2005,Países Bajos [+],"5,7%","-0,20","1.264,8 €",38.700€
22,2005,Polonia [+],"16,6%","-1,70","207,9 €",6.932€
23,2005,Rumanía [+],"6,6%","-1,30","78,7 €",3.152€
24,2005,Eslovenia [+],"7,0%","0,60","490,1 €",12.981€
25,2005,Eslovaquia [+],"15,4%","-2,20","167,8 €",6.856€
26,2006,España [+],,,"631,1 €",21.168€
27,2006,Portugal [+],"9,2%","0,40","450,0 €",15.517€
28,2006,Estados Unidos [+],"4,4%","-0,50","756,7 €",31.361€
29,2006,Japón [+],"4,0%","-0,40","835,2 €",34.099€
30,2006,Australia [+],"4,6%","-0,50","1.309,3 €",33.022€
31,2006,Bélgica [+],"7,9%","-0,60","1.234,0 €",37.674€
32,2006,Bulgaria [+],"8,2%","-1,50","81,8 €",2.195€
33,2006,Canadá [+],"6,1%","-0,50","959,8 €",28.165€
34,2006,Chile [+],"6,0%","-1,93","215,7 €",7.191€
35,2006,República Checa [+],"6,4%","-1,30","279,2 €",8.241€
36,2006,Estonia [+],"5,1%","-1,70","191,7 €",7.456€
37,2006,Grecia [+],"9,0%","-0,70","709,7 €",23.800€
38,2006,Hungría [+],"7,4%",0,"247,2 €",7.513€
39,2006,Irlanda [+],"4,7%","0,10","1.292,9 €",39.337€
40,2006,Lituania [+],"5,0%","-1,90","173,8 €",5.147€
41,2006,Luxemburgo [+],"4,4%","0,20","1.503,4 €",43.539€
42,2006,Letonia [+],"6,7%","-1,80","129,3 €",4.740€
43,2006,Malta [+],"6,5%","-0,80","584,2 €",15.181€
44,2006,México [+],"3,3%","0,55","113,7 €",5.382€
45,2006,Países Bajos [+],"4,6%","-1,10","1.284,6 €",40.800€
46,2006,Polonia [+],"11,9%","-4,70","232,9 €",7.513€
47,2006,Rumanía [+],"7,2%","0,60","89,7 €",3.713€
48,2006,Eslovenia [+],"5,4%","-1,60","511,9 €",13.684€
49,2006,Eslovaquia [+],"12,1%","-3,30","182,2 €",7.418€
50,2007,España [+],"8,8%","0,50","665,7 €",21.989€
51,2007,Reino Unido [+],"5,2%","-0,30","1.315,0 €",48.537€
52,2007,Francia [+],"7,4%","-1,00","1.280,1 €",32.413€
53,2007,Portugal [+],"8,7%","-0,50","470,2 €",15.549€
54,2007,Estados Unidos [+],"5,0%","0,60","677,8 €",30.692€
55,2007,Japón [+],"3,7%","-0,30","747,2 €",30.936€
56,2007,Australia [+],"4,3%","-0,26","1.335,9 €",34.940€
57,2007,Bélgica [+],"7,1%","-0,80","1.283,0 €",38.659€
58,2007,Bulgaria [+],"6,1%","-2,10","92,0 €",2.594€
59,2007,Canadá [+],"6,0%","-0,10","889,3 €",28.475€
60,2007,Chile [+],"7,2%","1,21","198,3 €",7.178€
