,Año,País,Tasa Desempleo,Var.,Var. Año,Mes
0,2005,España [+],"8,8%","0,10","-1,50",Diciembre 2005
1,2005,Alemania [+],"10,7%","-0,10",0,Diciembre 2005
2,2005,Reino Unido [+],"5,1%",0,"0,40",Diciembre 2005
3,2005,Francia [+],"9,1%",0,"0,20",Diciembre 2005
4,2005,Italia [+],"7,5%",0,"-0,30",Diciembre 2005
5,2005,Portugal [+],"8,8%","-0,20","0,50",Diciembre 2005
6,2005,Zona Euro [+],"8,8%","-0,10","-0,30",Diciembre 2005
7,2005,Estados Unidos [+],"4,9%","-0,10","-0,50",Diciembre 2005
8,2005,Japón [+],"4,4%","-0,10","-0,10",Diciembre 2005
9,2005,Argentina [+],"10,1%","-1,00","-2,00",Diciembre 2005
10,2005,Austria [+],"5,7%",0,"0,20",Diciembre 2005
11,2005,Australia [+],"5,1%","0,11","0,00",Diciembre 2005
12,2005,Bélgica [+],"8,5%","0,10","0,30",Diciembre 2005
13,2005,Bulgaria [+],"9,7%","-0,10","-1,80",Diciembre 2005
14,2005,Canadá [+],"6,6%","0,30","-0,50",Diciembre 2005
15,2005,Chile [+],"7,9%","-0,81","-0,94",Diciembre 2005
16,2005,Colombia [+],"10,3%","0,13","-1,74",Diciembre 2005
17,2005,Chipre [+],"5,2%",0,"-0,10",Diciembre 2005
18,2005,República Checa [+],"7,7%","-0,10","-0,30",Diciembre 2005
19,2005,Dinamarca [+],"4,1%",0,"-1,20",Diciembre 2005
20,2005,Estonia [+],"6,8%","-0,40","-2,70",Diciembre 2005
21,2005,Finlandia [+],"8,1%",0,"-0,60",Diciembre 2005
22,2005,Grecia [+],"9,7%","-0,09","-0,67",Diciembre 2005
23,2005,Croacia [+],"12,5%","-0,10","-1,10",Diciembre 2005
24,2005,Hungría [+],"7,4%",0,"0,90",Diciembre 2005
25,2005,Irlanda [+],"4,6%","0,10",0,Diciembre 2005
26,2005,Islandia [+],"2,7%",0,"-0,20",Diciembre 2005
27,2005,Lituania [+],"6,9%","-0,10","-3,40",Diciembre 2005
28,2005,Luxemburgo [+],"4,2%",0,"0,30",Diciembre 2005
29,2005,Letonia [+],"8,5%","-0,30","-3,30",Diciembre 2005
30,2005,Malta [+],"7,3%","0,40","0,50",Diciembre 2005
31,2005,México [+],"2,8%","-0,17","-0,75",Diciembre 2005
32,2005,Países Bajos [+],"5,7%",0,"-0,20",Diciembre 2005
33,2005,Noruega [+],"4,3%","-0,10","-0,10",Diciembre 2005
34,2005,Polonia [+],"16,6%","-0,50","-1,70",Diciembre 2005
35,2005,Rumanía [+],"6,6%","-0,20","-1,30",Diciembre 2005
36,2005,Suecia [+],"7,7%","0,50","0,20",Diciembre 2005
37,2005,Eslovenia [+],"7,0%","-0,20","0,60",Diciembre 2005
38,2005,Eslovaquia [+],"15,4%","-0,30","-2,20",Diciembre 2005
39,2005,Turquía [+],"9,7%",0,,Diciembre 2005
40,2006,España [+],,,,
41,2006,,,,,
42,2006,,,,,
43,2006,,,,,
44,2006,,"6,2%","-0,30","-1,30",Diciembre 2006
45,2006,Portugal [+],"9,2%","-0,10","0,40",Diciembre 2006
46,2006,Zona Euro [+],"7,9%","-0,20","-0,90",Diciembre 2006
47,2006,Estados Unidos [+],"4,4%","-0,10","-0,50",Diciembre 2006
48,2006,Japón [+],"4,0%",0,"-0,40",Diciembre 2006
49,2006,Argentina [+],"8,7%","-1,50","-1,40",Diciembre 2006
50,2006,Austria [+],"5,0%","0,10","-0,70",Diciembre 2006
51,2006,Australia [+],"4,6%","0,03","-0,50",Diciembre 2006
52,2006,Bélgica [+],"7,9%","-0,10","-0,60",Diciembre 2006
53,2006,Bulgaria [+],"8,2%","-0,30","-1,50",Diciembre 2006
54,2006,Canadá [+],"6,1%","-0,10","-0,50",Diciembre 2006
55,2006,Chile [+],"6,0%","-0,63","-1,93",Diciembre 2006
56,2006,Colombia [+],"11,8%","0,84","1,45",Diciembre 2006
57,2006,Chipre [+],"4,4%","0,10","-0,80",Diciembre 2006
58,2006,República Checa [+],"6,4%","-0,20","-1,30",Diciembre 2006
59,2006,Dinamarca [+],"3,8%","0,20","-0,30",Diciembre 2006
60,2006,Estonia [+],"5,1%","-0,30","-1,70",Diciembre 2006
61,2006,Finlandia [+],"7,3%",0,"-0,80",Diciembre 2006
62,2006,Grecia [+],"9,0%","-0,02","-0,70",Diciembre 2006
63,2006,Croacia [+],"10,9%","-0,20","-1,60",Diciembre 2006
64,2006,Hungría [+],"7,4%","-0,20",0,Diciembre 2006
65,2006,Irlanda [+],"4,7%","0,10","0,10",Diciembre 2006
66,2006,Islandia [+],"2,6%","-0,10","-0,10",Diciembre 2006
67,2006,Lituania [+],"5,0%",0,"-1,90",Diciembre 2006
68,2006,Luxemburgo [+],"4,4%",0,"0,20",Diciembre 2006
69,2006,Letonia [+],"6,7%","0,20","-1,80",Diciembre 2006
70,2006,Malta [+],"6,5%","0,40","-0,80",Diciembre 2006
71,2006,México [+],"3,3%","-0,19","0,55",Diciembre 2006
72,2006,Países Bajos [+],"4,6%","-0,10","-1,10",Diciembre 2006
73,2006,Noruega [+],"2,9%","0,10","-1,40",Diciembre 2006
74,2006,Polonia [+],"11,9%","-0,50","-4,70",Diciembre 2006
75,2006,Rumanía [+],"7,2%","0,10","0,60",Diciembre 2006
76,2006,Suecia [+],"6,4%","-0,20","-1,30",Diciembre 2006
77,2006,Eslovenia [+],"5,4%","-0,10","-1,60",Diciembre 2006
78,2006,Eslovaquia [+],"12,1%","-0,30","-3,30",Diciembre 2006
79,2006,Turquía [+],"8,9%","0,20","-0,80",Diciembre 2006
80,2006,Uruguay [+],"8,9%","-0,81",,Diciembre 2006
81,2007,España [+],"8,8%","0,20","0,50",Diciembre 2007
82,2007,Alemania [+],"8,1%","-0,10","-1,30",Diciembre 2007
83,2007,Reino Unido [+],"5,2%",0,"-0,30",Diciembre 2007
84,2007,Francia [+],"7,4%","-0,10","-1,00",Diciembre 2007
85,2007,Italia [+],"6,5%","0,20","0,30",Diciembre 2007
86,2007,Portugal [+],"8,7%","-0,20","-0,50",Diciembre 2007
87,2007,Zona Euro [+],"7,3%",0,"-0,60",Diciembre 2007
88,2007,Estados Unidos [+],"5,0%","0,30","0,60",Diciembre 2007
