,Año,País,Salario Medio,Var.
0,2005,España [+],20.616€,
1,2005,Alemania [+],38.700€,
2,2005,Reino Unido [+],44.361€,
3,2005,Francia [+],30.521€,
4,2005,Italia [+],24.450€,
5,2005,Portugal [+],14.042€,
6,2005,Estados Unidos [+],30.252€,
7,2005,Japón [+],36.382€,
8,2005,Austria [+],34.025€,
9,2005,Australia [+],32.213€,
10,2005,Bélgica [+],36.673€,
11,2005,Bulgaria [+],1.974€,
12,2005,Canadá [+],26.124€,
13,2005,Suiza [+],46.106€,
14,2005,Chile [+],6.616€,
15,2005,Chipre [+],12.027€,
16,2005,República Checa [+],7.355€,
17,2005,Dinamarca [+],42.983€,
18,2005,Estonia [+],6.304€,
19,2005,Finlandia [+],32.086€,
20,2005,Grecia [+],22.012€,
21,2005,Hungría [+],7.321€,
22,2005,Irlanda [+],38.065€,
23,2005,Israel [+],18.472€,
24,2005,Islandia [+],52.921€,
25,2005,Corea del Sur [+],22.645€,
26,2005,Lituania [+],4.382€,
27,2005,Luxemburgo [+],42.067€,
28,2005,Letonia [+],3.828€,
29,2005,Malta [+],14.638€,
30,2005,México [+],5.153€,
31,2005,Países Bajos [+],38.700€,
32,2005,Noruega [+],47.258€,
33,2005,Nueva Zelanda [+],22.400€,
34,2005,Polonia [+],6.932€,
35,2005,Rumanía [+],3.152€,
36,2005,Suecia [+],33.989€,
37,2005,Eslovenia [+],12.981€,
38,2005,Eslovaquia [+],6.856€,
39,2006,España [+],21.168€,
40,2006,Alemania [+],39.149€,
41,2006,Reino Unido [+],46.087€,
42,2006,Francia [+],31.369€,
43,2006,Italia [+],25.241€,
44,2006,Portugal [+],15.517€,
45,2006,Estados Unidos [+],31.361€,
46,2006,Japón [+],34.099€,
47,2006,Austria [+],35.143€,
48,2006,Australia [+],33.022€,
49,2006,Bélgica [+],37.674€,
50,2006,Bulgaria [+],2.195€,
51,2006,Canadá [+],28.165€,
52,2006,Suiza [+],46.016€,
53,2006,Chile [+],7.191€,
54,2006,Chipre [+],12.472€,
55,2006,República Checa [+],8.241€,
56,2006,Dinamarca [+],44.362€,
57,2006,Estonia [+],7.456€,
58,2006,Finlandia [+],33.543€,
59,2006,Grecia [+],23.800€,
60,2006,Hungría [+],7.513€,
61,2006,Irlanda [+],39.337€,
62,2006,Israel [+],18.893€,
63,2006,Islandia [+],52.370€,
64,2006,Corea del Sur [+],25.443€,
65,2006,Lituania [+],5.147€,
66,2006,Luxemburgo [+],43.539€,
67,2006,Letonia [+],4.740€,
68,2006,Malta [+],15.181€,
69,2006,México [+],5.382€,
70,2006,Países Bajos [+],40.800€,
71,2006,Noruega [+],49.429€,
72,2006,Nueva Zelanda [+],21.082€,
73,2006,Polonia [+],7.513€,
74,2006,Rumanía [+],3.713€,
75,2006,Suecia [+],35.077€,
76,2006,Eslovenia [+],13.684€,
77,2006,Eslovaquia [+],7.418€,
78,2007,España [+],21.989€,
79,2007,Alemania [+],40.100€,
80,2007,Reino Unido [+],48.537€,
81,2007,Francia [+],32.413€,
82,2007,Italia [+],25.805€,
83,2007,Portugal [+],15.549€,
84,2007,Estados Unidos [+],30.692€,
85,2007,Japón [+],30.936€,
86,2007,Austria [+],36.228€,
87,2007,Australia [+],34.940€,
